rule_id,kind,rule,allows,stated_or_used,where,quote,examples
R01,other,Linear A signs are read with the sound values of the Linear B signs that look like them.,value(Linear A sign) = value(Linear B homomorph),stated,"§3, pp.3-4; Appendix B opening paragraph, p.36",scholars stretching back to Ventris have long assumed that Linear B sound values could be applied to their Linear A counterparts,"every reading in the paper; Appendix B says its signs are ""transliterated using Linear B homomorph values"" (p.36)"
R02,spelling habit,"Every sign writes an open syllable: a consonant plus a vowel, or a vowel on its own. The script cannot write a bare consonant.",sign = CV or V; never C alone,stated,"§9, p.19","As each sign in Linear A is an open syllable, it imposes systematic distortions on Semitic phonology.",every reading in the paper
R03,other,Two different signs can stand for the same sound.,value(sign A) may equal value(sign B),stated,"§4.1, p.5",it is indeed possible to encounter two signs that represent the same phonetic value,*301 and NA both = /na/ (p.5)
R04,other,One sign can be syllabic in one place and a whole word (a logogram) in another.,sign = syllable value OR whole-word value,stated,"§4.1 and n.8, p.5",Signs functioning both syllabically and logographically are not uncommon across ancient scripts.,*301 = /na/ in the formula but stands alone for nawā elsewhere (p.5); *307 = dubur (p.19); *312 = KITNU (p.40)
R05,sound,"Stops are not told apart as voiced, voiceless or emphatic, so one stop sign covers all the stops made in the same part of the mouth.",stop sign = any stop at that place: P-series = p | b; T-series = t | d | ṭ; K-series = k | g | q,stated,"§9, p.19","Stops cannot be distinguished as voiced, voiceless, or emphatic","A-KA-NU = ʾagānu, KA writes /ga/ (p.36); A-PA-RA-NE = ʿibrānī, PA writes /ba/ (p.37); O-SU-QA-RE = ʾO-Sukar, QA writes /ka/ (p.17)"
R06,sound,All the s-type sounds share one series of signs.,S-series sign = š | s | ṣ | ś,stated,"§9, p.19; §4.3, p.8",all sibilants merge into a single S-series,"SI-RU-TE = šīrūt, SI writes /ši/ (p.11); U-NA-KA-NA-SI = kanasī, SI writes /si/ (p.9); *301-SI = nāśī, SI writes /śī/ (n.10, p.5)"
R07,sound,"Throat sounds (laryngeals and pharyngeals) are often not written at all, or are written with a plain vowel sign.",vowel sign V = V | ʾV | ʿV | hV | ḥV; a throat consonant may also be left out entirely,stated,"§9, p.19","laryngeals are not (always) even written, but represented by a “pure vowel” sign",A-KA-NU = ʾagānu (p.36); A-NA-NE = ḥanān (p.36); U-NA = hunna (p.9); O-SU-QA-RE = ʾO-Sukar (p.17)
R08,sound,Length is never written: neither a doubled consonant nor a long vowel is shown by the spelling.,a written sequence may be read with any consonant or vowel length,stated,"§9, p.19",neither consonantal nor vocalic length is ever indicated orthographically,JA-DI-KI-TU = Diqqitu with /qq/ from one KI (pp.6-7); SI-RU-TE = šīrūt with two long vowels (p.11)
R09,sound,Linear A does not tell /l/ apart from /r/; one series writes both.,R-series sign = r | l,stated,"Appendix C, p.40",the liquid merger of /l/ and /r/—which the Linear A syllabary collapses,"RU = lū (p.9); RA-KI-NI-SE = la-kinnisēt (p.9); SI-RU-TE = šīrūt, RU writes /rū/ (p.11)"
R10,sound,"Linear A writes a vowel on every syllable, and those vowels carry grammar (case endings, stem vowels, mimation).","every sign contributes a vowel; vowel quality is meaningful, vowel length is not written",stated,"§9, p.19",Linear A is the only pre-Classical Semitic script that renders full vocalization on every syllable.,the -u of *yaqtulu in TA-NA-RA-TE-U-TI-NU (p.12); the -ī possessive in U-NA-KA-NA-SI (p.9)
