word,paper_root,matched_root,strongs,gloss,pieces_removed,rules_used,sound_matches
A-TA-I-*301-WA-JA,n-w-y,ʾ-w-y,H183,to wish for,second part of a compound (N07),N07 R01 R07,
A-TA-I-*301-WA-JA,n-w-y,ʾ-w-h,H183,to wish for,-JA (R48) + second part of a compound (N07),N07 R01 R07 R48,
A-TA-I-*301-WA-JA,n-w-y,ʾ-w-ṣ,H213,"to press; (by implication) to be close, hurry, withdraw",first part of a compound (N07),N04 N07 R01 R05 R07 R11,
A-TA-I-*301-WA-JA,n-w-y,ʾ-w-t,H225,"properly, to come, i.e. (implied) to assent",first part of a compound (N07),N04 N07 R01 R05 R07 R11,
A-TA-I-*301-WA-JA,n-w-y,ʾ-ḥ-d,H258,"to unify, i.e. (figuratively) collect (one's thoughts)",first part of a compound (N07),N07 R01 R05 R07 R11,
A-TA-I-*301-WA-JA,n-w-y,ʾ-n-h,H578,to groan,A- (R37) + TA- (R39) + first part of a compound (N07),N07 R01 R07 R25 R37 R39,
A-TA-I-*301-WA-JA,n-w-y,ʾ-n-ḥ,H584,to sigh,A- (R37) + TA- (R39) + first part of a compound (N07),N07 R01 R07 R21 R25 R37 R39,
A-TA-I-*301-WA-JA,n-w-y,ʾ-n-n,H596,"to mourn, i.e. complain",A- (R37) + TA- (R39) + first part of a compound (N07),N07 R01 R07 R08 R25 R37 R39,
A-TA-I-*301-WA-JA,n-w-y,ʾ-r-h,H717,to pluck,A- (R37) + TA- (R39) + first part of a compound (N07),N07 R01 R07 R24 R37 R39,
A-TA-I-*301-WA-JA,n-w-y,ʾ-r-y,H717,to pluck,A- (R37) + TA- (R39) + second part of a compound (N07),N07 R01 R07 R24 R37 R39,
A-TA-I-*301-WA-JA,n-w-y,ʾ-r-ḥ,H732,to travel,A- (R37) + TA- (R39) + first part of a compound (N07),N07 R01 R07 R24 R37 R39,
A-TA-I-*301-WA-JA,n-w-y,ʾ-t-h,H857,to arrive,first part of a compound (N07),N07 R01 R05 R07 R11,
A-TA-I-*301-WA-JA,n-w-y,d-ʾ-h,H1675,"to dart, i.e. fly rapidly",first part of a compound (N07),N07 R01 R02 R05 R07 R11,
A-TA-I-*301-WA-JA,n-w-y,d-w-h,H1738,to be sick (as if in menstruation),first part of a compound (N07),N04 N07 R01 R02 R05 R07 R11,
A-TA-I-*301-WA-JA,n-w-y,d-w-ḥ,H1740,"to thrust away; figuratively, to cleanse",first part of a compound (N07),N04 N07 R01 R02 R05 R07 R11,
A-TA-I-*301-WA-JA,n-w-y,d-ḥ-h,H1760,to push down,first part of a compound (N07),N07 R01 R02 R05 R07 R11,
A-TA-I-*301-WA-JA,n-w-y,h-d-h,H1911,to stretch forth the hand,first part of a compound (N07),N07 R01 R05 R07 R11,
A-TA-I-*301-WA-JA,n-w-y,h-w-ʾ,H1933,to be (in the sense of existence),-JA (R48) + second part of a compound (N07),N07 R01 R07 R48,
A-TA-I-*301-WA-JA,n-w-y,h-w-n,H1951,"properly, to be naught, i.e. (figuratively) to be (causatively, act) light",A- (R37) + TA- (R39) + first part of a compound (N07),N04 N07 R01 R07 R25 R37 R39,
A-TA-I-*301-WA-JA,n-w-y,h-y-h,H1961,"to exist, i.e. be or become, come to pass (always emphatic, and not a mere copula or auxiliary)",A- (R37) + TA- (R39) + second part of a compound (N07),N07 R01 R07 R37 R39,
A-TA-I-*301-WA-JA,n-w-y,h-y-y,H1961,"to exist, i.e. be or become, come to pass (always emphatic, and not a mere copula or auxiliary)",A- (R37) + TA- (R39) + second part of a compound (N07),N07 R01 R07 R08 R37 R39,
A-TA-I-*301-WA-JA,n-w-y,h-r-h,H2029,"to be (or become) pregnant, conceive (literally or figuratively)",A- (R37) + TA- (R39) + first part of a compound (N07),N07 R01 R07 R24 R37 R39,
A-TA-I-*301-WA-JA,n-w-y,h-r-y,H2029,"to be (or become) pregnant, conceive (literally or figuratively)",A- (R37) + TA- (R39) + second part of a compound (N07),N07 R01 R07 R24 R37 R39,
A-TA-I-*301-WA-JA,n-w-y,h-t-t,H2050,"properly, to break in upon, i.e. to assail",first part of a compound (N07),N07 R01 R05 R07 R08 R11,
A-TA-I-*301-WA-JA,n-w-y,ḥ-d-d,H2300,"to be (causatively, make) sharp or (figuratively) severe",first part of a compound (N07),N07 R01 R05 R07 R08 R11,
A-TA-I-*301-WA-JA,n-w-y,ḥ-d-h,H2302,to rejoice,first part of a compound (N07),N07 R01 R05 R07 R11,
A-TA-I-*301-WA-JA,n-w-y,ḥ-w-d,H2330,"properly, to tie a knot, i.e. (figuratively) to propound a riddle",first part of a compound (N07),N04 N07 R01 R05 R07 R11,
A-TA-I-*301-WA-JA,n-w-y,ḥ-w-y,H2331,"properly, to live; by implication (intensively) to declare or show",second part of a compound (N07),N07 R01 R07 R21,
A-TA-I-*301-WA-JA,n-w-y,ḥ-w-h,H2331,"properly, to live; by implication (intensively) to declare or show",-JA (R48) + second part of a compound (N07),N07 R01 R07 R21 R48,
A-TA-I-*301-WA-JA,n-w-y,ḥ-w-š,H2363,"to hurry; figuratively, to be eager with excitement or enjoyment",first part of a compound (N07),N04 N07 R01 R05 R07 R11,ṯ=š
A-TA-I-*301-WA-JA,n-w-y,ḥ-ṭ-ʾ,H2398,"properly, to miss; hence (figuratively and generally) to sin; by inference, to forfeit, lack, expiate, repent, (causatively) lead astray, condemn",first part of a compound (N07),N07 R01 R05 R07 R11,
A-TA-I-*301-WA-JA,n-w-y,ḥ-y-h,H2421,"to live, whether literally or figuratively; causatively, to revive",A- (R37) + TA- (R39) + second part of a compound (N07),N07 R01 R07 R21 R37 R39,
A-TA-I-*301-WA-JA,n-w-y,ḥ-y-y,H2421,"to live, whether literally or figuratively; causatively, to revive",A- (R37) + TA- (R39) + second part of a compound (N07),N07 R01 R07 R08 R21 R37 R39,
A-TA-I-*301-WA-JA,n-w-y,ḥ-n-h,H2583,"properly, to incline; by implication, to decline (of the slanting rays of evening); specifically, to pitch atent; gen. to encamp (for abode or siege)",A- (R37) + TA- (R39) + first part of a compound (N07),N07 R01 R07 R25 R37 R39,
A-TA-I-*301-WA-JA,n-w-y,ḥ-n-n,H2603,"properly, to bend or stoop in kindness to an inferior; to favor, bestow; causatively to implore (i.e. move to favor by petition)",A- (R37) + TA- (R39) + first part of a compound (N07),N07 R01 R07 R08 R25 R37 R39,
A-TA-I-*301-WA-JA,n-w-y,ḥ-s-d,H2616,"properly, perhaps to bow (the neck only  in courtesy to an equal), i.e. to be kind; also (by euphemistically, but rarely) to reprove",first part of a compound (N07),N07 R01 R05 R07 R11 R22,
