view,sign,rule_set,candidate,rank,coverage,words_tested,total_matches,median_per_word,options,formula_roots,formula_has_n_w_y
single consonant,*301,full,p,1,19,20,2435,100.5,,204,no
single consonant,*301,full,b,2,19,20,2376,93.0,,206,no
single consonant,*301,full,l,3,19,20,2203,85.0,,198,no
single consonant,*301,full,q,4,19,20,2122,82.0,,188,no
single consonant,*301,full,n,5,19,20,2120,88.0,,184,yes
single consonant,*301,full,r,6,19,20,2084,83.5,,191,no
single consonant,*301,full,k,7,19,20,2021,78.0,,180,no
single consonant,*301,full,g,8,19,20,1983,80.0,,177,no
single consonant,*301,full,m,8,19,20,1983,67.5,,57,no
single consonant,*301,full,y,10,19,20,1961,72.5,,64,no
single consonant,*301,full,ṯ,11,19,20,1932,77.5,,152,no
single consonant,*301,full,š,11,19,20,1932,77.5,,152,no
single consonant,*301,full,(no consonant),13,19,20,1931,74.0,,154,no
single consonant,*301,full,d,14,19,20,1906,81.5,,161,no
single consonant,*301,full,ṣ,15,19,20,1840,75.0,,148,no
single consonant,*301,full,t,16,19,20,1824,71.5,,159,no
single consonant,*301,full,ḏ,17,19,20,1743,71.0,,158,no
single consonant,*301,full,z,17,19,20,1743,71.0,,158,no
single consonant,*301,full,ṭ,19,19,20,1711,67.5,,156,no
single consonant,*301,full,ś,20,19,20,1701,60.0,,152,no
single consonant,*301,full,h,21,19,20,1684,64.0,,144,no
single consonant,*301,full,ḥ,22,19,20,1644,58.0,,144,no
single consonant,*301,full,ḫ,22,19,20,1644,58.0,,144,no
single consonant,*301,full,ʿ,24,19,20,1636,58.0,,144,no
single consonant,*301,full,ʾ,25,19,20,1627,58.0,,144,no
single consonant,*301,full,s,26,19,20,1402,38.5,,24,no
single consonant,*301,full,w,27,18,20,1366,39.0,,22,no
sign group,*301,full,P-series,1,19,20,3173,139.0,2,,
sign group,*301,full,K-series,2,19,20,2939,134.5,4,,
sign group,*301,full,Q-series,3,19,20,2881,131.0,3,,
sign group,*301,full,T-series,4,19,20,2837,127.5,5,,
sign group,*301,full,R-series,5,19,20,2703,118.5,2,,
sign group,*301,full,S-series,6,19,20,2452,109.5,4,,
sign group,*301,full,D-series,7,19,20,2225,104.5,3,,
sign group,*301,full,Z-series,8,19,20,2184,93.0,2,,
sign group,*301,full,N-series,9,19,20,2120,88.0,1,,
sign group,*301,full,M-series,10,19,20,1983,67.5,1,,
sign group,*301,full,J-series,11,19,20,1961,72.5,1,,
sign group,*301,full,plain vowel,12,19,20,1931,74.0,1,,
sign group,*301,full,W-series,13,18,20,1366,39.0,1,,
single consonant,JU,full,p,1,19,20,1982,94.0,,,
single consonant,JU,full,y,1,19,20,1982,96.5,,,
single consonant,JU,full,n,3,19,20,1931,95.5,,,
single consonant,JU,full,(no consonant),4,19,20,1927,92.5,,,
single consonant,JU,full,l,5,19,20,1914,101.5,,,
single consonant,JU,full,r,6,19,20,1880,99.5,,,
single consonant,JU,full,b,7,19,20,1858,91.0,,,
single consonant,JU,full,m,8,19,20,1833,85.0,,,
single consonant,JU,full,q,9,19,20,1778,89.0,,,
single consonant,JU,full,ṯ,10,19,20,1733,90.5,,,
single consonant,JU,full,š,10,19,20,1733,90.5,,,
single consonant,JU,full,d,12,19,20,1726,91.0,,,
single consonant,JU,full,k,13,19,20,1709,87.5,,,
single consonant,JU,full,ṣ,14,19,20,1690,87.0,,,
single consonant,JU,full,g,15,19,20,1639,83.5,,,
single consonant,JU,full,t,16,19,20,1563,84.0,,,
single consonant,JU,full,h,17,19,20,1540,75.0,,,
single consonant,JU,full,ṭ,18,19,20,1450,74.0,,,
single consonant,JU,full,ḥ,19,19,20,1443,75.0,,,
single consonant,JU,full,ḫ,19,19,20,1443,75.0,,,
single consonant,JU,full,ʾ,21,19,20,1434,76.5,,,
single consonant,JU,full,ḏ,22,19,20,1401,71.5,,,
single consonant,JU,full,z,22,19,20,1401,71.5,,,
single consonant,JU,full,ś,24,19,20,1379,69.5,,,
single consonant,JU,full,w,25,19,20,1368,67.0,,,
single consonant,JU,full,s,26,19,20,1360,65.5,,,
single consonant,JU,full,ʿ,27,19,20,1352,67.0,,,
single consonant,RA₂,full,(no consonant),1,20,20,1670,74.0,,,
single consonant,RA₂,full,y,2,20,20,1614,90.5,,,
single consonant,RA₂,full,n,3,20,20,1564,90.0,,,
single consonant,RA₂,full,m,4,20,20,1513,80.5,,,
single consonant,RA₂,full,h,5,20,20,1302,68.0,,,
single consonant,RA₂,full,ḥ,6,20,20,1172,61.5,,,
single consonant,RA₂,full,ḫ,6,20,20,1172,61.5,,,
single consonant,RA₂,full,ʾ,8,20,20,1165,61.0,,,
single consonant,RA₂,full,p,9,19,20,1616,85.5,,,
single consonant,RA₂,full,l,10,19,20,1613,94.5,,,
single consonant,RA₂,full,q,11,19,20,1481,77.0,,,
single consonant,RA₂,full,d,12,19,20,1456,90.0,,,
single consonant,RA₂,full,t,13,19,20,1343,77.5,,,
single consonant,RA₂,full,s,14,19,20,1051,60.0,,,
single consonant,RA₂,full,ʿ,15,19,20,1045,57.0,,,
single consonant,RA₂,full,r,16,18,20,1527,86.5,,,
single consonant,RA₂,full,ṯ,17,18,20,1364,75.5,,,
single consonant,RA₂,full,š,17,18,20,1364,75.5,,,
single consonant,RA₂,full,k,19,18,20,1319,72.0,,,
single consonant,RA₂,full,g,20,18,20,1296,71.0,,,
single consonant,RA₂,full,ṣ,21,18,20,1289,71.0,,,
single consonant,RA₂,full,ṭ,22,18,20,1156,70.5,,,
single consonant,RA₂,full,ś,23,18,20,1064,59.5,,,
single consonant,RA₂,full,b,24,17,20,1485,76.5,,,
single consonant,RA₂,full,ḏ,25,17,20,1135,68.0,,,
single consonant,RA₂,full,z,25,17,20,1135,68.0,,,
single consonant,RA₂,full,w,27,17,20,966,57.0,,,
single consonant,WI,full,p,1,19,19,2242,106,,,
single consonant,WI,full,(no consonant),2,19,19,2185,94,,,
single consonant,WI,full,y,3,19,19,2168,93,,,
single consonant,WI,full,b,4,19,19,2141,91,,,
single consonant,WI,full,q,4,19,19,2141,93,,,
single consonant,WI,full,m,6,19,19,2131,96,,,
single consonant,WI,full,l,7,19,19,2119,98,,,
single consonant,WI,full,r,8,19,19,2059,96,,,
single consonant,WI,full,k,9,19,19,2040,89,,,
single consonant,WI,full,n,10,19,19,2037,82,,,
single consonant,WI,full,ṣ,11,19,19,2017,93,,,
single consonant,WI,full,ṯ,11,19,19,2017,88,,,
single consonant,WI,full,š,11,19,19,2017,88,,,
single consonant,WI,full,g,14,19,19,1971,81,,,
single consonant,WI,full,h,15,19,19,1951,84,,,
single consonant,WI,full,d,16,19,19,1926,81,,,
single consonant,WI,full,ḏ,17,19,19,1831,73,,,
single consonant,WI,full,z,17,19,19,1831,73,,,
single consonant,WI,full,ṭ,19,19,19,1799,74,,,
single consonant,WI,full,ḥ,20,19,19,1781,75,,,
single consonant,WI,full,ḫ,20,19,19,1781,75,,,
single consonant,WI,full,ʾ,22,19,19,1752,72,,,
single consonant,WI,full,t,23,19,19,1744,73,,,
single consonant,WI,full,ʿ,24,19,19,1735,67,,,
single consonant,WI,full,ś,25,19,19,1725,66,,,
single consonant,WI,full,w,26,19,19,1719,70,,,
single consonant,WI,full,s,27,19,19,1698,64,,,
single consonant,*301,stated only,(no consonant),1,18,20,510,15.0,,23,no
single consonant,*301,stated only,r,2,16,20,278,4.0,,4,no
single consonant,*301,stated only,b,3,16,20,188,3.0,,1,no
single consonant,*301,stated only,ʿ,4,16,20,69,1.5,,2,no
single consonant,*301,stated only,n,5,15,20,218,4.5,,5,yes
single consonant,*301,stated only,p,6,15,20,210,3.0,,1,no
single consonant,*301,stated only,ṯ,7,15,20,146,4.5,,4,no
single consonant,*301,stated only,š,7,15,20,146,4.5,,4,no
single consonant,*301,stated only,ḥ,9,15,20,87,2.0,,2,no
single consonant,*301,stated only,ḫ,9,15,20,87,2.0,,2,no
single consonant,*301,stated only,l,11,14,20,221,3.5,,4,no
single consonant,*301,stated only,q,12,14,20,127,3.0,,3,no
single consonant,*301,stated only,k,13,14,20,118,5.0,,2,no
single consonant,*301,stated only,g,14,14,20,101,2.0,,1,no
single consonant,*301,stated only,h,15,14,20,95,1.0,,1,no
single consonant,*301,stated only,ṣ,16,14,20,77,2.0,,3,no
single consonant,*301,stated only,d,17,13,20,107,2.5,,3,no
single consonant,*301,stated only,t,18,13,20,88,2.0,,2,no
single consonant,*301,stated only,ḏ,19,13,20,53,1.0,,1,no
single consonant,*301,stated only,z,19,13,20,53,1.0,,1,no
single consonant,*301,stated only,m,21,12,20,184,4.0,,0,no
single consonant,*301,stated only,y,22,12,20,173,3.0,,0,no
single consonant,*301,stated only,ṭ,23,12,20,58,2.5,,4,no
single consonant,*301,stated only,ś,24,12,20,34,1.0,,1,no
single consonant,*301,stated only,w,25,11,20,104,2.5,,0,no
single consonant,*301,stated only,s,26,11,20,73,1.5,,0,no
single consonant,*301,stated only,ʾ,27,10,20,42,0.5,,2,no
sign group,*301,stated only,plain vowel,1,18,20,510,15.0,1,,
sign group,*301,stated only,R-series,2,16,20,501,7.5,2,,
sign group,*301,stated only,T-series,3,16,20,490,12.5,5,,
sign group,*301,stated only,P-series,4,16,20,398,6.0,2,,
sign group,*301,stated only,Z-series,5,16,20,199,5.5,2,,
sign group,*301,stated only,K-series,6,15,20,433,13.0,4,,
sign group,*301,stated only,S-series,7,15,20,329,8.0,4,,
sign group,*301,stated only,N-series,8,15,20,218,4.5,1,,
sign group,*301,stated only,Q-series,9,14,20,346,10.5,3,,
sign group,*301,stated only,D-series,10,14,20,254,6.0,3,,
sign group,*301,stated only,M-series,11,12,20,184,4.0,1,,
sign group,*301,stated only,J-series,12,12,20,173,3.0,1,,
sign group,*301,stated only,W-series,13,11,20,104,2.5,1,,
single consonant,JU,stated only,(no consonant),1,19,20,399,14.0,,,
single consonant,JU,stated only,l,2,18,20,176,3.0,,,
single consonant,JU,stated only,r,3,17,20,204,5.0,,,
single consonant,JU,stated only,d,4,16,20,94,2.0,,,
single consonant,JU,stated only,y,5,15,20,147,4.5,,,
single consonant,JU,stated only,m,6,15,20,135,3.5,,,
single consonant,JU,stated only,ḥ,7,15,20,50,2.0,,,
