word_set,rule_set,affixes,r62_r63,n_signs,word_count,share_any_root,min_roots,median_roots,max_roots,mean_roots,share_paper_root,mean_paper_roots
real (all),full,on,on,2,287,1.0,20,92,197,99.11,0.7247,1.805
real (all),full,on,on,3,288,1.0,20,140.0,263,137.11,0.875,2.524
real (all),full,on,on,4,136,1.0,10,143.0,316,153.99,0.8603,3.213
real (all),full,on,on,5,44,0.9773,0,171.0,294,155.91,0.8864,3.523
real (all),full,on,on,6,20,0.95,0,157.0,296,149.85,0.95,4.25
real (all),full,on,on,7,7,1.0,20,153,238,126,0.7143,2.714
real (all),full,on,on,8,2,0.5,0,5.0,10,5,0.0,0
real (all),full,on,on,9,1,0.0,0,0,0,0,0.0,0
real (all),full,on,on,16,1,0.0,0,0,0,0,0.0,0
real (all),full,on,on,19,1,0.0,0,0,0,0,0.0,0
real (all),full,on,on,all,787,0.9924,0,126,316,126.59,0.8132,2.466
real (all),full,on,off,2,287,1.0,20,91,186,96.72,0.6864,1.648
real (all),full,on,off,3,288,1.0,20,138.5,263,134.57,0.8646,2.368
real (all),full,on,off,4,136,1.0,10,141.5,316,150.09,0.8382,2.956
real (all),full,on,off,5,44,0.9773,0,165.5,290,151.5,0.8864,3.295
real (all),full,on,off,6,20,0.95,0,144.0,289,143.6,0.95,3.85
real (all),full,on,off,7,7,1.0,19,153,238,124.86,0.7143,2.714
real (all),full,on,off,8,2,0.5,0,5.0,10,5,0.0,0
real (all),full,on,off,9,1,0.0,0,0,0,0,0.0,0
real (all),full,on,off,16,1,0.0,0,0,0,0,0.0,0
real (all),full,on,off,19,1,0.0,0,0,0,0,0.0,0
real (all),full,on,off,all,787,0.9924,0,123,316,123.7,0.7916,2.285
real (read by the paper),full,on,off,2,9,1.0,43,76,138,86.89,0.8889,2.333
real (read by the paper),full,on,off,3,23,1.0,65,145,232,143.91,0.9565,2.478
real (read by the paper),full,on,off,4,33,1.0,33,168,270,156.97,0.9091,3.212
