root_list,roots_in_list,word_set,rule_set,n_signs,word_count,coverage,median_roots,mean_roots,matches_per_1000_roots
Hebrew,1501,real (read by the paper),full,2,9,1.0,76,86.89,57.89
Hebrew,1501,real (read by the paper),full,3,23,1.0,145,143.91,95.88
Hebrew,1501,real (read by the paper),full,4,33,1.0,168,156.97,104.58
Hebrew,1501,real (read by the paper),full,5,14,1.0,174.0,169.43,112.88
Hebrew,1501,real (read by the paper),full,6,12,1.0,176.5,180.42,120.2
Hebrew,1501,real (read by the paper),full,7,3,1.0,171,187.33,124.81
Hebrew,1501,real (read by the paper),full,8,2,0.5,5.0,5,3.33
Hebrew,1501,real (read by the paper),full,all,96,0.9896,146.0,149.8,99.8
Hebrew,1501,real (never read),full,2,278,1.0,91.0,97.04,64.65
Hebrew,1501,real (never read),full,3,265,1.0,136,133.76,89.12
Hebrew,1501,real (never read),full,4,103,1.0,140,147.88,98.52
Hebrew,1501,real (never read),full,5,30,0.9667,157.0,143.13,95.36
Hebrew,1501,real (never read),full,6,8,0.875,96.5,88.38,58.88
Hebrew,1501,real (never read),full,7,4,1.0,56.0,78,51.97
Hebrew,1501,real (never read),full,9,1,0.0,0,0,0.0
Hebrew,1501,real (never read),full,16,1,0.0,0,0,0.0
Hebrew,1501,real (never read),full,19,1,0.0,0,0,0.0
Hebrew,1501,real (never read),full,all,691,0.9928,119,120.07,79.99
Hebrew,1501,Linear A-like,full,2,2870,1.0,90.0,96.23,64.11
Hebrew,1501,Linear A-like,full,3,2880,1.0,135.0,133.34,88.83
Hebrew,1501,Linear A-like,full,4,1360,0.9985,145.0,143.22,95.42
Hebrew,1501,Linear A-like,full,5,440,0.9545,117.0,117.36,78.19
Hebrew,1501,Linear A-like,full,6,200,0.805,50.5,79.1,52.7
Hebrew,1501,Linear A-like,full,7,70,0.4714,0.0,30.63,20.41
Hebrew,1501,Linear A-like,full,8,20,0.3,0.0,16.55,11.03
Hebrew,1501,Linear A-like,full,9,10,0.0,0.0,0,0.0
Hebrew,1501,Linear A-like,full,16,10,0.0,0.0,0,0.0
Hebrew,1501,Linear A-like,full,19,10,0.0,0.0,0,0.0
Hebrew,1501,Linear A-like,full,all,7870,0.982,117.0,117.53,78.3
Hebrew,1501,real (read by the paper),stated only,2,9,1.0,12,17.89,11.92
Hebrew,1501,real (read by the paper),stated only,3,23,0.8696,13,25.83,17.21
Hebrew,1501,real (read by the paper),stated only,4,33,0.6364,2,12.85,8.56
Hebrew,1501,real (read by the paper),stated only,5,14,0.5,0.5,13.64,9.09
Hebrew,1501,real (read by the paper),stated only,6,12,0.5,0.5,5.25,3.5
Hebrew,1501,real (read by the paper),stated only,7,3,0.6667,38,42.67,28.43
Hebrew,1501,real (read by the paper),stated only,8,2,0.0,0.0,0,0.0
Hebrew,1501,real (read by the paper),stated only,all,96,0.6771,4.0,16.26,10.83
Hebrew,1501,real (never read),stated only,2,278,0.9928,20.0,23.43,15.61
Hebrew,1501,real (never read),stated only,3,265,0.8113,6,14.45,9.62
Hebrew,1501,real (never read),stated only,4,103,0.534,1,6.65,4.43
Hebrew,1501,real (never read),stated only,5,30,0.2667,0.0,1.7,1.13
Hebrew,1501,real (never read),stated only,6,8,0.0,0.0,0,0.0
Hebrew,1501,real (never read),stated only,7,4,0.0,0.0,0,0.0
Hebrew,1501,real (never read),stated only,9,1,0.0,0,0,0.0
Hebrew,1501,real (never read),stated only,16,1,0.0,0,0,0.0
Hebrew,1501,real (never read),stated only,19,1,0.0,0,0,0.0
Hebrew,1501,real (never read),stated only,all,691,0.8017,10,16.03,10.68
Hebrew,1501,Linear A-like,stated only,2,2870,0.9906,19.0,22.07,14.71
Hebrew,1501,Linear A-like,stated only,3,2880,0.8125,8.0,15.89,10.59
Hebrew,1501,Linear A-like,stated only,4,1360,0.4765,0.0,6.68,4.45
Hebrew,1501,Linear A-like,stated only,5,440,0.2045,0.0,2.25,1.5
Hebrew,1501,Linear A-like,stated only,6,200,0.055,0.0,0.34,0.23
Hebrew,1501,Linear A-like,stated only,7,70,0.0143,0.0,0.37,0.25
Hebrew,1501,Linear A-like,stated only,8,20,0.0,0.0,0,0.0
Hebrew,1501,Linear A-like,stated only,9,10,0.0,0.0,0,0.0
Hebrew,1501,Linear A-like,stated only,16,10,0.0,0.0,0,0.0
Hebrew,1501,Linear A-like,stated only,19,10,0.0,0.0,0,0.0
Hebrew,1501,Linear A-like,stated only,all,7870,0.7539,9.0,15.16,10.1
Hebrew + Ugaritic,1816,real (read by the paper),full,2,9,1.0,94,103.89,57.21
Hebrew + Ugaritic,1816,real (read by the paper),full,3,23,1.0,176,170.48,93.88
Hebrew + Ugaritic,1816,real (read by the paper),full,4,33,1.0,190,186.97,102.96
Hebrew + Ugaritic,1816,real (read by the paper),full,5,14,1.0,207.5,206.07,113.48
Hebrew + Ugaritic,1816,real (read by the paper),full,6,12,1.0,220.5,219.25,120.73
Hebrew + Ugaritic,1816,real (read by the paper),full,7,3,1.0,209,227.67,125.37
Hebrew + Ugaritic,1816,real (read by the paper),full,8,2,1.0,9.0,9,4.96
Hebrew + Ugaritic,1816,real (read by the paper),full,all,96,1.0,176.5,179.61,98.91
Hebrew + Ugaritic,1816,real (never read),full,2,278,1.0,107.0,114.86,63.25
Hebrew + Ugaritic,1816,real (never read),full,3,265,1.0,161,158.41,87.23
Hebrew + Ugaritic,1816,real (never read),full,4,103,1.0,166,175.9,96.86
Hebrew + Ugaritic,1816,real (never read),full,5,30,1.0,185.0,172.07,94.75
Hebrew + Ugaritic,1816,real (never read),full,6,8,0.875,112.0,105.38,58.03
Hebrew + Ugaritic,1816,real (never read),full,7,4,1.0,101.0,108.75,59.88
Hebrew + Ugaritic,1816,real (never read),full,9,1,0.0,0,0,0.0
Hebrew + Ugaritic,1816,real (never read),full,16,1,0.0,0,0,0.0
Hebrew + Ugaritic,1816,real (never read),full,19,1,0.0,0,0,0.0
Hebrew + Ugaritic,1816,real (never read),full,all,691,0.9942,141,142.5,78.47
Hebrew + Ugaritic,1816,Linear A-like,full,2,2870,1.0,107.0,114.62,63.12
Hebrew + Ugaritic,1816,Linear A-like,full,3,2880,1.0,159.0,158.37,87.21
Hebrew + Ugaritic,1816,Linear A-like,full,4,1360,0.9993,173.0,170.87,94.09
Hebrew + Ugaritic,1816,Linear A-like,full,5,440,0.9591,137.5,140.47,77.35
Hebrew + Ugaritic,1816,Linear A-like,full,6,200,0.83,65.0,95.52,52.6
Hebrew + Ugaritic,1816,Linear A-like,full,7,70,0.5143,2.0,37.56,20.68
Hebrew + Ugaritic,1816,Linear A-like,full,8,20,0.3,0.0,20.05,11.04
Hebrew + Ugaritic,1816,Linear A-like,full,9,10,0.0,0.0,0,0.0
Hebrew + Ugaritic,1816,Linear A-like,full,16,10,0.0,0.0,0,0.0
Hebrew + Ugaritic,1816,Linear A-like,full,19,10,0.0,0.0,0,0.0
Hebrew + Ugaritic,1816,Linear A-like,full,all,7870,0.9834,137.0,139.95,77.07
Hebrew + Ugaritic,1816,real (read by the paper),stated only,2,9,1.0,15,21.56,11.87
Hebrew + Ugaritic,1816,real (read by the paper),stated only,3,23,0.8696,18,30.65,16.88
Hebrew + Ugaritic,1816,real (read by the paper),stated only,4,33,0.6364,2,15.33,8.44
Hebrew + Ugaritic,1816,real (read by the paper),stated only,5,14,0.5,1.0,15.64,8.61
Hebrew + Ugaritic,1816,real (read by the paper),stated only,6,12,0.5,1.0,7,3.85
Hebrew + Ugaritic,1816,real (read by the paper),stated only,7,3,0.6667,44,51,28.08
Hebrew + Ugaritic,1816,real (read by the paper),stated only,8,2,0.0,0.0,0,0.0
Hebrew + Ugaritic,1816,real (read by the paper),stated only,all,96,0.6771,6.0,19.39,10.67
Hebrew + Ugaritic,1816,real (never read),stated only,2,278,1.0,23.5,27.66,15.23
