word,where,root,rule_set,n_signs,site,reachable,options,chance,rank,note
JA-SA-RA,"Appendix A, p.36",y-š-r,full,3,Knossos,yes,171,0.003,26,
A-NA-NE,"Appendix A, p.36",ḥ-n-n,full,3,Knossos,yes,43,0.042,70,
A-TA-I-*301-WA-JA,"§4.1, pp.4-6",n-w-y,full,6,Iouktas,yes,163,0.001,8,
JA-DI-KI-TU,"§4.2, pp.6-7",d-q-q,full,4,Iouktas,yes,224,0.012,52,
JA-SA-SA-RA-ME,"§4.3, pp.7-8",y-š-r,full,5,Iouktas,yes,224,0.003,26,
JA-SA-RA,"§4.3, p.8",y-š-r,full,3,Knossos,yes,171,0.003,26,
SA-SA-RA-ME,"§4.3, p.8",y-š-r,full,4,Palaikastro,yes,211,0.012,52,
A-SA-SA-RA,"§4.3, p.8",y-š-r,full,4,Palaikastro,yes,189,0.012,52,
U-NA-KA-NA-SI,"§5.1, p.9",k-n-s,full,5,Iouktas,yes,182,0.002,22,
U-NA-RU-KA-NA-SI,"§5.1, p.9",k-n-s,full,6,Iouktas,yes,207,0.001,8,
RA-KI-NI-SE,"§5.1, p.9",k-n-s,full,4,Syme,yes,216,0.008,46,
I-PI-NA-MA,"§5.2, p.10",p-n-y,full,4,Iouktas,yes,131,0.009,47,
SI-RU-TE,"§5.3, pp.10-11",š-r-t,full,3,Iouktas,yes,201,0.012,52,
TA-NA-RA-TE-U-TI-NU,"§6.1, pp.12-13",r-ṣ-y,full,7,Iouktas,yes,238,0.005,42,
*301-SI,"§4.1 n.10, p.5",n-ś-ʾ,full,2,Tiryns,yes,96,0.011,51,
NA-TU-*301-NE,"§4.1 n.10, p.5",n-t-n,full,4,Skoteino Cave,yes,50,,,"the paper reads only part of this word as this root (N07), and a test against one root cannot express that"
A-TA-I-NA-WA-JA,"§7 table, p.14",n-w-y,full,6,Iouktas,yes,163,0.001,8,
JA-DI-KI-TU,"§7 table, p.14",d-q-q,full,4,Iouktas,yes,224,0.012,52,
JA-SA-SA-RA-ME,"§7 table, p.14",y-š-r,full,5,Iouktas,yes,224,0.003,26,
U-NA-KA-NA-SI,"§7 table, p.14",k-n-s,full,5,Iouktas,yes,182,0.002,22,
I-PI-NA-MA,"§7 table, p.14",p-n-y,full,4,Iouktas,yes,131,0.009,47,
SI-RU-TE,"§7 table, p.14",š-r-t,full,3,Iouktas,yes,201,0.012,52,
TA-NA-RA-TE-U-TI-NU,"§7 table, p.14",r-ṣ-y,full,7,Iouktas,yes,238,0.005,42,
SI-KI-NE,"§7, p.14",š-k-n,full,3,Haghia Triada,yes,129,0.003,26,
JA-SA-RA,"§7, p.15",y-š-r,full,3,Knossos,yes,171,0.003,26,
A-TA-I-*301-WA-JA,"§8 table, p.16",n-w-y,full,6,Syme,yes,163,0.001,8,
JA-DI-KI-TU,"§8 table, p.16",d-q-q,full,4,Iouktas,yes,224,0.012,52,
JA-SA-SA-RA-ME,"§8 table, p.16",y-š-r,full,5,Troullos,yes,224,0.003,26,
U-NA-KA-NA-SI,"§8 table, p.16",k-n-s,full,5,Kophinas,yes,182,0.002,22,
I-PI-NA-MA,"§8 table, p.16",p-n-y,full,4,Kophinas,yes,131,0.009,47,
SI-RU-TE,"§8 table, p.16",š-r-t,full,3,Syme,yes,201,0.012,52,
TA-NA-RA-TE-U-TI-NU,"§8 table, p.16",r-ṣ-y,full,7,Iouktas,yes,238,0.005,42,
TA-NA-I-*301-U-TI-NU,"§8 table, p.16",ʿ-n-y,full,7,Iouktas,yes,171,0.0,1,
I-NA-TA,"§8 table, p.16",ʿ-n-y,full,3,Iouktas,yes,150,0.042,70,
DU-*314-RE,"§8 table, p.16",ḥ-r-r,full,3,Kophinas,yes,94,0.06,74,
A-TA-I-*301-WA-E,"§8 table, p.16",n-w-y,full,6,Palaikastro,yes,162,0.001,8,
A-DI-KI-TE-TE,"§8 table, p.16",d-q-q,full,5,Palaikastro,yes,294,0.003,26,
SA-SA-RA-ME,"§8 table, p.16",y-š-r,full,4,Palaikastro,yes,211,0.012,52,
U-NA-RU-KA-NA-TI,"§8 table, p.16",k-n-s,full,6,Palaikastro,yes,296,0.001,8,
I-PI-NA-MI-NA,"§8 table, p.16",p-n-y,full,5,Palaikastro,yes,99,,,"the paper reads only part of this word as this root (N07), and a test against one root cannot express that"
TA-NA-I-NA-U-TI-NU,"§8, p.16",ʿ-n-y,full,7,Iouktas,yes,171,0.0,1,
I-NA-TA,"§8, p.16",ʿ-n-y,full,3,Iouktas,yes,150,0.042,70,
DU-*314-RE,"§8, p.17",ḥ-r-r,full,3,Kophinas,yes,94,0.06,74,
A-TA-I-*301-DE-KA,"§8, p.18",ʿ-n-y,full,6,Zakros,yes,251,0.0,1,
SA-SA-RA-ME,"§8, p.18",y-š-r,full,4,Palaikastro,yes,211,0.012,52,
DU-PU₂-RE,"§9, p.19",d-b-r,full,3,Palaikastro,yes,234,0.003,26,
A-DI-KI-TE-TE,"§9, p.19",d-q-q,full,5,Palaikastro,yes,294,0.003,26,
A-DI-KI-TE-TE,"Appendix B, pp.36-40",d-q-q,full,5,Palaikastro,yes,294,0.003,26,
A-JA,"Appendix B, pp.36-40",ḥ-y-y,full,2,Syme,yes,43,0.016,63,
A-MI-DA-O,"Appendix B, pp.36-40",ʿ-m-m,full,4,Phaistos,yes,96,,,"the paper reads only part of this word as this root (N07), and a test against one root cannot express that"
A-MI-DA-O,"Appendix B, pp.36-40",y-d-ʿ,full,4,Phaistos,no,,,,not reachable
A-MI-DA-U,"Appendix B, pp.36-40",ʿ-m-m,full,4,Zakros,yes,111,0.037,68,
A-MI-DA-U,"Appendix B, pp.36-40",y-d-ʿ,full,4,Zakros,yes,111,0.078,76,
A-NA-NU-SI-JA-SE,"Appendix B, pp.36-40",ʿ-n-n,full,6,Haghia Triada,yes,138,0.0,1,
A-PA-RA-NE,"Appendix B, pp.36-40",ʿ-b-r,full,4,Haghia Triada,yes,110,,,"the paper reads only part of this word as this root (N07), and a test against one root cannot express that"
A-RI-NI-TA,"Appendix B, pp.36-40",ʾ-r-y,full,4,Haghia Triada,yes,189,0.031,67,
A-SA-SA-RA-ME,"Appendix B, pp.36-40",y-š-r,full,5,Iouktas,no,,,,not reachable
A-SI-KI-RA,"Appendix B, pp.36-40",š-k-r,full,4,Khania,yes,198,0.004,40,
A-TA-I-*301-DE-KA,"Appendix B, pp.36-40",ʿ-n-y,full,6,Zakros,yes,251,0.0,1,
A-TA-I-*301-WA-E,"Appendix B, pp.36-40",n-w-y,full,6,Palaikastro,yes,162,0.001,8,
A-TA-I-*301-WA-JA,"Appendix B, pp.36-40",n-w-y,full,6,Iouktas,yes,163,0.001,8,
I-NA-JA-PA-QA,"Appendix B, pp.36-40",p-q-ḥ,full,5,Palaikastro,yes,32,,,"the paper reads only part of this word as this root (N07), and a test against one root cannot express that"
I-NA-JA-RE-TA,"Appendix B, pp.36-40",y-r-ʾ,full,5,Apodoulou,yes,206,,,"the paper reads only part of this word as this root (N07), and a test against one root cannot express that"
I-PI-NA-MA,"Appendix B, pp.36-40",p-n-y,full,4,Iouktas,yes,131,0.009,47,
I-PI-NA-MI-NA,"Appendix B, pp.36-40",p-n-y,full,5,Palaikastro,yes,99,,,"the paper reads only part of this word as this root (N07), and a test against one root cannot express that"
I-TI-TI-KU-NI,"Appendix B, pp.36-40",n-t-k,full,5,Haghia Triada,yes,290,0.001,8,
I-ZU-RI-NI-TA,"Appendix B, pp.36-40",ṯ-w-r,full,5,Phaistos,yes,140,0.024,66,
JA-DI-KI-TE-TE,"Appendix B, pp.36-40",d-q-q,full,5,Palaikastro,yes,299,0.003,26,
JA-DI-KI-TU,"Appendix B, pp.36-40",d-q-q,full,4,Iouktas,yes,224,0.012,52,
JA-SA-SA-RA-MA-NA,"Appendix B, pp.36-40",y-š-r,full,6,Knossos,yes,248,0.0,1,
JA-SA-SA-RA-MA-NA,"Appendix B, pp.36-40",m-n-y,full,6,Knossos,yes,248,0.001,8,
JA-SA-SA-RA-ME,"Appendix B, pp.36-40",y-š-r,full,5,Psykhro,yes,224,0.003,26,
JA-SU-MA-TU,"Appendix B, pp.36-40",š-m-ṭ,full,4,Syme,yes,192,0.003,26,
JA-TA-I-*301-U-JA,"Appendix B, pp.36-40",n-w-y,full,6,Apodoulou,yes,190,0.001,8,
KI-DA-RO,"Appendix B, pp.36-40",q-d-r,full,3,Haghia Triada,yes,168,0.004,40,
PA-RA-NE,"Appendix B, pp.36-40",ʿ-b-r,full,3,Haghia Triada,yes,110,,,"the paper reads only part of this word as this root (N07), and a test against one root cannot express that"
RU-MA-TA,"Appendix B, pp.36-40",r-w-m,full,3,Haghia Triada,yes,189,0.039,69,
RU-MA-TA-SE,"Appendix B, pp.36-40",r-w-m,full,4,Zakros,yes,244,0.021,64,
SI-KI-RA,"Appendix B, pp.36-40",š-k-r,full,3,Haghia Triada,yes,194,0.001,8,
TA-NA-I-*301-TI,"Appendix B, pp.36-40",ʿ-n-y,full,5,Psykhro,yes,165,0.005,42,
TA-NA-I-*301-U-TI-NU,"Appendix B, pp.36-40",ʿ-n-y,full,7,Iouktas,yes,171,0.0,1,
TA-NA-TE,"Appendix B, pp.36-40",ṯ-n-n,full,3,Zakros,yes,163,0.042,70,
TI-TI-KU,"Appendix B, pp.36-40",n-t-k,full,3,Haghia Triada,yes,232,0.001,8,
U-NA-KA-NA-SI,"Appendix B, pp.36-40",k-n-s,full,5,Kophinas,yes,182,0.002,22,
U-NA-RU-KA-NA-TI,"Appendix B, pp.36-40",k-n-s,full,6,Palaikastro,yes,296,0.001,8,
ZU-RI-NI-MA,"Appendix B, pp.36-40",ṯ-w-r,full,4,Knossos,yes,113,0.023,65,
JA-SA-RA,"Appendix A, p.36",y-š-r,stated only,3,Knossos,yes,46,0.003,28,
A-NA-NE,"Appendix A, p.36",ḥ-n-n,stated only,3,Knossos,yes,3,0.038,56,
A-TA-I-*301-WA-JA,"§4.1, pp.4-6",n-w-y,stated only,6,Iouktas,yes,5,0.0,1,
JA-DI-KI-TU,"§4.2, pp.6-7",d-q-q,stated only,4,Iouktas,yes,12,0.009,48,
JA-SA-SA-RA-ME,"§4.3, pp.7-8",y-š-r,stated only,5,Iouktas,yes,47,0.002,24,
JA-SA-RA,"§4.3, p.8",y-š-r,stated only,3,Knossos,yes,46,0.003,28,
SA-SA-RA-ME,"§4.3, p.8",y-š-r,stated only,4,Palaikastro,yes,47,0.009,48,
A-SA-SA-RA,"§4.3, p.8",y-š-r,stated only,4,Palaikastro,yes,46,0.009,48,
U-NA-KA-NA-SI,"§5.1, p.9",k-n-s,stated only,5,Iouktas,yes,1,0.001,20,
U-NA-RU-KA-NA-SI,"§5.1, p.9",k-n-s,stated only,6,Iouktas,yes,1,0.0,1,
RA-KI-NI-SE,"§5.1, p.9",k-n-s,stated only,4,Syme,yes,1,0.006,42,
I-PI-NA-MA,"§5.2, p.10",p-n-y,stated only,4,Iouktas,yes,4,0.007,43,
SI-RU-TE,"§5.3, pp.10-11",š-r-t,stated only,3,Iouktas,yes,52,0.0,1,
TA-NA-RA-TE-U-TI-NU,"§6.1, pp.12-13",r-ṣ-y,stated only,7,Iouktas,yes,90,0.0,1,
*301-SI,"§4.1 n.10, p.5",n-ś-ʾ,stated only,2,Tiryns,yes,16,0.003,28,
NA-TU-*301-NE,"§4.1 n.10, p.5",n-t-n,stated only,4,Skoteino Cave,no,,,,not reachable with stated rules only
A-TA-I-NA-WA-JA,"§7 table, p.14",n-w-y,stated only,6,Iouktas,yes,5,0.0,1,
JA-DI-KI-TU,"§7 table, p.14",d-q-q,stated only,4,Iouktas,yes,12,0.009,48,
JA-SA-SA-RA-ME,"§7 table, p.14",y-š-r,stated only,5,Iouktas,yes,47,0.002,24,
U-NA-KA-NA-SI,"§7 table, p.14",k-n-s,stated only,5,Iouktas,yes,1,0.001,20,
I-PI-NA-MA,"§7 table, p.14",p-n-y,stated only,4,Iouktas,yes,4,0.007,43,
SI-RU-TE,"§7 table, p.14",š-r-t,stated only,3,Iouktas,yes,52,0.0,1,
TA-NA-RA-TE-U-TI-NU,"§7 table, p.14",r-ṣ-y,stated only,7,Iouktas,yes,90,0.0,1,
SI-KI-NE,"§7, p.14",š-k-n,stated only,3,Haghia Triada,yes,2,0.003,28,
JA-SA-RA,"§7, p.15",y-š-r,stated only,3,Knossos,yes,46,0.003,28,
A-TA-I-*301-WA-JA,"§8 table, p.16",n-w-y,stated only,6,Syme,yes,5,0.0,1,
JA-DI-KI-TU,"§8 table, p.16",d-q-q,stated only,4,Iouktas,yes,12,0.009,48,
JA-SA-SA-RA-ME,"§8 table, p.16",y-š-r,stated only,5,Troullos,yes,47,0.002,24,
U-NA-KA-NA-SI,"§8 table, p.16",k-n-s,stated only,5,Kophinas,yes,1,0.001,20,
I-PI-NA-MA,"§8 table, p.16",p-n-y,stated only,4,Kophinas,yes,4,0.007,43,
SI-RU-TE,"§8 table, p.16",š-r-t,stated only,3,Syme,yes,52,0.0,1,
TA-NA-RA-TE-U-TI-NU,"§8 table, p.16",r-ṣ-y,stated only,7,Iouktas,yes,90,0.0,1,
TA-NA-I-*301-U-TI-NU,"§8 table, p.16",ʿ-n-y,stated only,7,Iouktas,yes,38,0.0,1,
I-NA-TA,"§8 table, p.16",ʿ-n-y,stated only,3,Iouktas,no,,,,not reachable with stated rules only
DU-*314-RE,"§8 table, p.16",ḥ-r-r,stated only,3,Kophinas,yes,9,0.042,58,
A-TA-I-*301-WA-E,"§8 table, p.16",n-w-y,stated only,6,Palaikastro,yes,4,0.0,1,
A-DI-KI-TE-TE,"§8 table, p.16",d-q-q,stated only,5,Palaikastro,yes,12,0.003,28,
SA-SA-RA-ME,"§8 table, p.16",y-š-r,stated only,4,Palaikastro,yes,47,0.009,48,
U-NA-RU-KA-NA-TI,"§8 table, p.16",k-n-s,stated only,6,Palaikastro,yes,12,0.0,1,
I-PI-NA-MI-NA,"§8 table, p.16",p-n-y,stated only,5,Palaikastro,no,,,,not reachable with stated rules only
TA-NA-I-NA-U-TI-NU,"§8, p.16",ʿ-n-y,stated only,7,Iouktas,yes,38,0.0,1,
I-NA-TA,"§8, p.16",ʿ-n-y,stated only,3,Iouktas,no,,,,not reachable with stated rules only
DU-*314-RE,"§8, p.17",ḥ-r-r,stated only,3,Kophinas,yes,9,0.042,58,
A-TA-I-*301-DE-KA,"§8, p.18",ʿ-n-y,stated only,6,Zakros,no,,,,not reachable with stated rules only
SA-SA-RA-ME,"§8, p.18",y-š-r,stated only,4,Palaikastro,yes,47,0.009,48,
DU-PU₂-RE,"§9, p.19",d-b-r,stated only,3,Palaikastro,yes,43,0.003,28,
A-DI-KI-TE-TE,"§9, p.19",d-q-q,stated only,5,Palaikastro,yes,12,0.003,28,
A-DI-KI-TE-TE,"Appendix B, pp.36-40",d-q-q,stated only,5,Palaikastro,yes,12,0.003,28,
A-JA,"Appendix B, pp.36-40",ḥ-y-y,stated only,2,Syme,yes,12,0.008,47,
A-MI-DA-O,"Appendix B, pp.36-40",ʿ-m-m,stated only,4,Phaistos,no,,,,not reachable with stated rules only
A-MI-DA-O,"Appendix B, pp.36-40",y-d-ʿ,stated only,4,Phaistos,no,,,,not reachable with stated rules only
A-MI-DA-U,"Appendix B, pp.36-40",ʿ-m-m,stated only,4,Zakros,no,,,,not reachable with stated rules only
A-MI-DA-U,"Appendix B, pp.36-40",y-d-ʿ,stated only,4,Zakros,no,,,,not reachable with stated rules only
A-NA-NU-SI-JA-SE,"Appendix B, pp.36-40",ʿ-n-n,stated only,6,Haghia Triada,no,,,,not reachable with stated rules only
A-PA-RA-NE,"Appendix B, pp.36-40",ʿ-b-r,stated only,4,Haghia Triada,no,,,,not reachable with stated rules only
A-RI-NI-TA,"Appendix B, pp.36-40",ʾ-r-y,stated only,4,Haghia Triada,no,,,,not reachable with stated rules only
A-SA-SA-RA-ME,"Appendix B, pp.36-40",y-š-r,stated only,5,Iouktas,no,,,,not reachable with stated rules only
A-SI-KI-RA,"Appendix B, pp.36-40",š-k-r,stated only,4,Khania,yes,11,0.003,28,
A-TA-I-*301-DE-KA,"Appendix B, pp.36-40",ʿ-n-y,stated only,6,Zakros,no,,,,not reachable with stated rules only
A-TA-I-*301-WA-E,"Appendix B, pp.36-40",n-w-y,stated only,6,Palaikastro,yes,4,0.0,1,
A-TA-I-*301-WA-JA,"Appendix B, pp.36-40",n-w-y,stated only,6,Iouktas,yes,5,0.0,1,
I-NA-JA-PA-QA,"Appendix B, pp.36-40",p-q-ḥ,stated only,5,Palaikastro,no,,,,not reachable with stated rules only
I-NA-JA-RE-TA,"Appendix B, pp.36-40",y-r-ʾ,stated only,5,Apodoulou,no,,,,not reachable with stated rules only
I-PI-NA-MA,"Appendix B, pp.36-40",p-n-y,stated only,4,Iouktas,yes,4,0.007,43,
I-PI-NA-MI-NA,"Appendix B, pp.36-40",p-n-y,stated only,5,Palaikastro,no,,,,not reachable with stated rules only
I-TI-TI-KU-NI,"Appendix B, pp.36-40",n-t-k,stated only,5,Haghia Triada,no,,,,not reachable with stated rules only
I-ZU-RI-NI-TA,"Appendix B, pp.36-40",ṯ-w-r,stated only,5,Phaistos,no,,,,not reachable with stated rules only
JA-DI-KI-TE-TE,"Appendix B, pp.36-40",d-q-q,stated only,5,Palaikastro,yes,12,0.003,28,
JA-DI-KI-TU,"Appendix B, pp.36-40",d-q-q,stated only,4,Iouktas,yes,12,0.009,48,
JA-SA-SA-RA-MA-NA,"Appendix B, pp.36-40",y-š-r,stated only,6,Knossos,no,,,,not reachable with stated rules only
JA-SA-SA-RA-MA-NA,"Appendix B, pp.36-40",m-n-y,stated only,6,Knossos,no,,,,not reachable with stated rules only
JA-SA-SA-RA-ME,"Appendix B, pp.36-40",y-š-r,stated only,5,Psykhro,yes,47,0.002,24,
JA-SU-MA-TU,"Appendix B, pp.36-40",š-m-ṭ,stated only,4,Syme,yes,42,0.003,28,
JA-TA-I-*301-U-JA,"Appendix B, pp.36-40",n-w-y,stated only,6,Apodoulou,no,,,,not reachable with stated rules only
KI-DA-RO,"Appendix B, pp.36-40",q-d-r,stated only,3,Haghia Triada,yes,6,0.004,41,
PA-RA-NE,"Appendix B, pp.36-40",ʿ-b-r,stated only,3,Haghia Triada,no,,,,not reachable with stated rules only
RU-MA-TA,"Appendix B, pp.36-40",r-w-m,stated only,3,Haghia Triada,no,,,,not reachable with stated rules only
RU-MA-TA-SE,"Appendix B, pp.36-40",r-w-m,stated only,4,Zakros,no,,,,not reachable with stated rules only
SI-KI-RA,"Appendix B, pp.36-40",š-k-r,stated only,3,Haghia Triada,yes,11,0.0,1,
TA-NA-I-*301-TI,"Appendix B, pp.36-40",ʿ-n-y,stated only,5,Psykhro,yes,37,0.003,28,
TA-NA-I-*301-U-TI-NU,"Appendix B, pp.36-40",ʿ-n-y,stated only,7,Iouktas,yes,38,0.0,1,
TA-NA-TE,"Appendix B, pp.36-40",ṯ-n-n,stated only,3,Zakros,yes,101,0.038,56,
TI-TI-KU,"Appendix B, pp.36-40",n-t-k,stated only,3,Haghia Triada,no,,,,not reachable with stated rules only
U-NA-KA-NA-SI,"Appendix B, pp.36-40",k-n-s,stated only,5,Kophinas,yes,1,0.001,20,
U-NA-RU-KA-NA-TI,"Appendix B, pp.36-40",k-n-s,stated only,6,Palaikastro,yes,12,0.0,1,
ZU-RI-NI-MA,"Appendix B, pp.36-40",ṯ-w-r,stated only,4,Knossos,no,,,,not reachable with stated rules only
