word,root,where,passage,n_signs,site,rules_used,own_passage_rules,survives,base_options,base_chance,new_options,new_chance,blocker
JA-SA-RA,y-š-r,"Appendix A, p.36",Appendix A,3,Knossos,R01 R06 R09,(none),yes (nothing to switch off),46,0.003,46,0.003,
A-NA-NE,ḥ-n-n,"Appendix A, p.36",Appendix A,3,Knossos,R01 R07,(none),yes (nothing to switch off),3,0.038,3,0.038,
A-TA-I-*301-WA-JA,n-w-y,"§4.1, pp.4-6",§4.1,6,Iouktas,R01 R02 R25 R37 R39,R25,no,5,0.0,,,R25
JA-DI-KI-TU,d-q-q,"§4.2, pp.6-7",§4.2,4,Iouktas,N01 R01 R05 R08 R38,N01,no,12,0.009,,,N01
JA-SA-SA-RA-ME,y-š-r,"§4.3, pp.7-8",§4.3,5,Iouktas,R01 R06 R09 R17 R18 R47,R17 R18,no,47,0.002,,,R17
SA-SA-RA-ME,y-š-r,"§4.3, p.8",§4.3,4,Palaikastro,R01 R06 R09 R17 R18 R47 R62,R17 R18,no,47,0.009,,,R17
A-SA-SA-RA,y-š-r,"§4.3, p.8",§4.3,4,Palaikastro,R01 R02 R06 R09 R17 R18 R62,R17 R18,no,46,0.009,,,R17
U-NA-KA-NA-SI,k-n-s,"§5.1, p.9",§5.1,5,Iouktas,R01 R05 R06 R42,R42,no,1,0.001,,,R42
U-NA-RU-KA-NA-SI,k-n-s,"§5.1, p.9",§5.1,6,Iouktas,N03 R01 R05 R06 R42,N03 R42,no,1,0.0,,,N03 R42
RA-KI-NI-SE,k-n-s,"§5.1, p.9",§5.1,4,Syme,R01 R05 R06 R44,R44,no,1,0.006,,,R44
I-PI-NA-MA,p-n-y,"§5.2, p.10",§5.2,4,Iouktas,R01 R02 R05 R07 R47,(none),yes (nothing to switch off),4,0.007,4,0.007,
SI-RU-TE,š-r-t,"§5.3, pp.10-11",§5.3,3,Iouktas,R01 R05 R06 R09 R11ṯ,(none),yes (nothing to switch off),52,0.0,52,0.0,
TA-NA-RA-TE-U-TI-NU,r-ṣ-y,"§6.1, pp.12-13",§6.1,7,Iouktas,R01 R05 R07 R09 R40 R49 R50 R11ṣ,R11ṣ,no,90,0.0,,,R11ṣ
*301-SI,n-ś-ʾ,"§4.1 n.10, p.5",§4.1,2,Tiryns,R01 R06 R07 R25,R25,no,16,0.003,,,R25
A-TA-I-NA-WA-JA,n-w-y,"§7 table, p.14",§7,6,Iouktas,R01 R02 R37 R39,(none),yes (nothing to switch off),5,0.0,5,0.0,
SI-KI-NE,š-k-n,"§7, p.14",§7,3,Haghia Triada,R01 R05 R06,(none),yes (nothing to switch off),2,0.003,2,0.003,
TA-NA-I-*301-U-TI-NU,ʿ-n-y,"§8 table, p.16",§8,7,Iouktas,R01 R07 R25 R40 R49 R50,(none),yes (nothing to switch off),38,0.0,38,0.0,
DU-*314-RE,ḥ-r-r,"§8 table, p.16",§8,3,Kophinas,R01 R08 R09 R29 R46,R29 R46,no,9,0.042,,,R29 R46
A-TA-I-*301-WA-E,n-w-y,"§8 table, p.16",§8,6,Palaikastro,R01 R02 R07 R25 R37 R39,(none),yes (nothing to switch off),4,0.0,4,0.0,
A-DI-KI-TE-TE,d-q-q,"§8 table, p.16",§8,5,Palaikastro,R01 R02 R05 R08 R52,(none),yes (nothing to switch off),12,0.003,12,0.003,
U-NA-RU-KA-NA-TI,k-n-s,"§8 table, p.16",§8,6,Palaikastro,N03 R01 R05 R22 R42 R49,(none),yes (nothing to switch off),12,0.0,12,0.0,
TA-NA-I-NA-U-TI-NU,ʿ-n-y,"§8, p.16",§8,7,Iouktas,R01 R07 R40 R49 R50,(none),yes (nothing to switch off),38,0.0,38,0.0,
DU-PU₂-RE,d-b-r,"§9, p.19",§9,3,Palaikastro,R01 R05 R09,(none),yes (nothing to switch off),43,0.003,43,0.003,
A-JA,ḥ-y-y,"Appendix B, pp.36-40",Appendix B,2,Syme,R01 R07,(none),yes (nothing to switch off),12,0.008,12,0.008,
A-SI-KI-RA,š-k-r,"Appendix B, pp.36-40",Appendix B,4,Khania,R01 R02 R05 R06 R09,(none),yes (nothing to switch off),11,0.003,11,0.003,
JA-DI-KI-TE-TE,d-q-q,"Appendix B, pp.36-40",Appendix B,5,Palaikastro,R01 R05 R08 R38 R52,(none),yes (nothing to switch off),12,0.003,12,0.003,
JA-SU-MA-TU,š-m-ṭ,"Appendix B, pp.36-40",Appendix B,4,Syme,R01 R05 R06 R38 R11ṯ,(none),yes (nothing to switch off),42,0.003,42,0.003,
KI-DA-RO,q-d-r,"Appendix B, pp.36-40",Appendix B,3,Haghia Triada,R01 R05 R09,(none),yes (nothing to switch off),6,0.004,6,0.004,
SI-KI-RA,š-k-r,"Appendix B, pp.36-40",Appendix B,3,Haghia Triada,R01 R05 R06 R09,(none),yes (nothing to switch off),11,0.0,11,0.0,
TA-NA-I-*301-TI,ʿ-n-y,"Appendix B, pp.36-40",Appendix B,5,Psykhro,R01 R07 R25 R40 R49,(none),yes (nothing to switch off),37,0.003,37,0.003,
TA-NA-TE,ṯ-n-n,"Appendix B, pp.36-40",Appendix B,3,Zakros,R01 R05 R08 R52 R11ṯ,(none),yes (nothing to switch off),101,0.038,101,0.038,
